# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
4.40812e+03	2.08173e-02	1.27030e-03	6.20345	4.52458	4.53990e-05
4.42816e+03	2.08138e-02	1.15022e-03	0.93961	2.04098	4.53990e-05
4.44819e+03	2.08185e-02	1.16093e-03	1.40567	5.84011	4.53990e-05
4.46823e+03	2.08091e-02	1.17410e-03	2.72983	1.98123	4.53990e-05
4.48827e+03	2.08142e-02	1.11668e-03	4.14618	3.65399	4.53990e-05
4.50830e+03	2.08097e-02	1.13159e-03	4.74372	5.56604	4.53990e-05
4.52834e+03	2.08159e-02	1.27367e-03	5.95218	6.22674	4.53990e-05
4.54838e+03	2.08148e-02	1.18564e-03	0.00904	0.84959	4.53990e-05
4.56842e+03	2.08102e-02	1.17990e-03	0.77861	0.67844	4.53990e-05
4.58845e+03	2.08139e-02	1.19364e-03	0.65893	0.76278	4.53990e-05
4.60849e+03	2.08101e-02	1.08405e-03	0.78337	6.18605	4.53990e-05
4.62853e+03	2.08097e-02	1.22682e-03	6.13116	5.66967	4.53990e-05
4.64856e+03	2.08119e-02	1.16392e-03	5.25306	4.42279	4.53990e-05
4.66860e+03	2.08023e-02	1.24315e-03	3.14241	3.65696	4.53990e-05
4.68864e+03	2.08108e-02	1.20226e-03	0.47730	2.73916	4.53990e-05
4.70868e+03	2.08078e-02	1.15367e-03	4.22198	0.96644	4.53990e-05
4.72871e+03	2.08067e-02	1.20806e-03	0.13150	6.25196	4.53990e-05
4.74875e+03	2.08024e-02	1.11168e-03	1.60367	5.17089	4.53990e-05
4.76878e+03	2.08009e-02	1.14532e-03	1.74029	4.61218	4.53990e-05
4.78882e+03	2.08025e-02	1.14472e-03	1.04146	4.04833	4.53990e-05
4.80886e+03	2.08063e-02	1.33907e-03	5.68579	3.61517	4.53990e-05
4.82890e+03	2.08035e-02	1.15807e-03	2.10722	4.33399	4.53990e-05
4.84893e+03	2.07987e-02	1.12401e-03	4.38135	4.60208	4.53990e-05
4.86897e+03	2.08038e-02	1.22908e-03	5.70256	4.96792	4.53990e-05
4.88901e+03	2.07985e-02	1.09042e-03	4.92145	0.28434	4.53990e-05
4.90904e+03	2.07965e-02	1.11802e-03	3.38025	1.76718	4.53990e-05
4.92908e+03	2.07999e-02	1.19517e-03	0.33558	3.85965	4.53990e-05
4.94912e+03	2.07952e-02	1.12975e-03	2.04788	0.33455	4.53990e-05
4.96915e+03	2.07950e-02	1.07044e-03	2.08364	3.80733	4.53990e-05
4.98919e+03	2.07975e-02	1.16632e-03	0.54392	1.64885	4.53990e-05
5.00923e+03	2.07948e-02	1.05262e-03	3.63765	0.20324	4.53990e-05
5.02927e+03	2.07939e-02	1.12865e-03	4.72985	6.08432	4.53990e-05
5.04930e+03	2.07990e-02	1.15878e-03	4.83015	5.70280	4.53990e-05
5.06934e+03	2.07904e-02	1.13618e-03	2.30468	0.72971	4.53990e-05
