# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
4.04746e+03	3.92547e-02	4.73257e-04	0.20087	1.21632	2.31300e-05
4.06749e+03	3.92484e-02	1.85165e-04	5.97237	3.53478	2.31300e-05
4.08753e+03	3.92420e-02	1.50017e-04	4.01962	4.74319	2.31300e-05
4.10757e+03	3.92564e-02	4.90398e-05	2.36691	3.14143	2.31300e-05
4.12760e+03	3.92657e-02	2.88807e-04	0.30930	5.71409	2.31300e-05
4.14764e+03	3.92674e-02	9.08375e-05	1.03365	3.04260	2.31300e-05
4.16768e+03	3.92846e-02	4.72991e-04	6.07773	6.18681	2.31300e-05
4.18771e+03	3.92835e-02	3.19753e-04	0.49865	4.97868	2.31300e-05
4.20775e+03	3.92938e-02	3.93790e-04	0.27294	2.31698	2.31300e-05
4.22779e+03	3.92761e-02	6.72596e-05	3.01076	0.64331	2.31300e-05
4.24783e+03	3.92972e-02	3.25982e-04	5.67358	2.99544	2.31300e-05
4.26786e+03	3.92982e-02	1.24646e-04	0.62963	4.47167	2.31300e-05
4.28790e+03	3.92981e-02	1.82464e-04	4.91689	0.62746	2.31300e-05
4.30794e+03	3.93160e-02	3.58860e-04	0.11253	3.63950	2.31300e-05
4.32797e+03	3.93085e-02	1.52721e-04	0.64468	5.38398	2.31300e-05
4.34801e+03	3.93284e-02	4.38853e-04	0.12275	6.00570	2.31300e-05
4.36805e+03	3.93287e-02	2.56051e-04	5.83844	4.71011	2.31300e-05
4.38808e+03	3.93379e-02	4.72722e-04	0.17160	0.15629	2.31300e-05
4.40812e+03	3.93218e-02	1.32757e-04	2.53971	4.29046	2.31300e-05
4.42816e+03	3.93411e-02	2.20990e-04	0.46771	4.51412	2.31300e-05
4.44819e+03	3.93537e-02	4.52266e-04	0.35517	0.71550	2.31300e-05
4.46823e+03	3.93462e-02	2.11269e-04	5.98039	1.72116	2.31300e-05
4.48827e+03	3.93441e-02	6.25406e-05	3.41374	2.63071	2.31300e-05
4.50830e+03	3.93604e-02	2.00631e-04	6.18893	2.48308	2.31300e-05
4.52834e+03	3.93473e-02	2.42838e-04	2.89850	0.17764	2.31300e-05
4.54838e+03	3.93646e-02	2.49618e-04	0.65469	1.16824	2.31300e-05
4.56842e+03	3.93641e-02	5.53528e-05	5.07237	6.15884	2.31300e-05
4.58845e+03	3.93831e-02	4.39333e-04	6.04505	0.16943	2.31300e-05
4.60849e+03	3.93742e-02	1.36887e-04	5.67274	6.20127	2.31300e-05
4.62853e+03	3.93843e-02	2.07044e-04	5.42989	4.00268	2.31300e-05
4.64856e+03	3.93930e-02	3.53432e-04	0.27969	4.87933	2.31300e-05
4.66860e+03	3.93919e-02	1.26440e-04	0.76920	4.63327	2.31300e-05
4.68864e+03	3.94022e-02	3.44396e-04	0.57027	3.29010	2.31300e-05
4.70868e+03	3.94045e-02	2.92782e-04	0.26876	0.34665	2.31300e-05
4.72871e+03	3.94107e-02	2.55973e-04	0.63038	1.26762	2.31300e-05
4.74875e+03	3.94153e-02	1.75806e-04	0.36637	1.13872	2.31300e-05
4.76878e+03	3.94125e-02	6.90634e-05	0.38645	5.39437	2.31300e-05
4.78882e+03	3.94162e-02	8.26357e-05	5.69905	2.75393	2.31300e-05
4.80886e+03	3.94344e-02	3.81504e-04	5.99537	3.49998	2.31300e-05
4.82890e+03	3.94176e-02	6.92034e-05	3.69220	5.25667	2.31300e-05
4.84893e+03	3.94349e-02	1.12884e-04	0.36545	0.15489	2.31300e-05
4.86897e+03	3.94324e-02	1.68073e-04	4.42697	4.95325	2.31300e-05
4.88901e+03	3.94478e-02	1.95474e-04	5.95602	4.46474	2.31300e-05
4.90904e+03	3.94462e-02	9.07306e-05	5.92408	4.01531	2.31300e-05
4.92908e+03	3.94426e-02	9.42370e-05	3.85597	4.10774	2.31300e-05
4.94912e+03	3.94572e-02	1.14105e-04	5.88275	4.92974	2.31300e-05
4.96915e+03	3.94613e-02	1.67677e-04	0.38544	5.52170	2.31300e-05
4.98919e+03	3.94573e-02	6.37781e-05	4.16966	1.67338	2.31300e-05
5.00923e+03	3.94826e-02	4.11803e-04	6.23694	4.41073	2.31300e-05
5.02927e+03	3.94735e-02	1.80987e-04	0.22568	1.27019	2.31300e-05
5.04930e+03	3.94827e-02	2.18658e-04	5.48605	4.34111	2.31300e-05
5.06934e+03	3.94855e-02	1.69105e-04	6.00346	4.53681	2.31300e-05
5.08938e+03	3.94840e-02	1.22057e-04	0.34396	3.28239	2.31300e-05
5.10941e+03	3.94925e-02	1.22793e-04	0.39266	1.29706	2.31300e-05
5.12945e+03	3.94925e-02	8.31797e-05	0.93092	3.81492	2.31300e-05
5.14949e+03	3.95101e-02	4.24624e-04	5.85606	0.67838	2.31300e-05
5.16952e+03	3.95030e-02	1.12080e-04	6.18500	0.89156	2.31300e-05
5.18956e+03	3.95198e-02	3.61742e-04	0.04580	0.07730	2.31300e-05
5.20960e+03	3.95239e-02	4.71217e-04	0.19425	4.39615	2.31300e-05
5.22963e+03	3.95245e-02	4.00793e-04	0.24439	1.34311	2.31300e-05
5.24967e+03	3.95143e-02	1.19122e-04	2.16805	1.53060	2.31300e-05
5.26971e+03	3.95266e-02	1.36849e-04	5.69448	5.24477	2.31300e-05
5.28975e+03	3.95195e-02	1.63067e-04	2.52309	1.95649	2.31300e-05
5.30978e+03	3.95290e-02	1.08308e-04	0.40222	2.80927	2.31300e-05
5.32982e+03	3.95299e-02	2.18866e-05	0.58821	0.24587	2.31300e-05
5.34986e+03	3.95335e-02	9.50262e-05	2.42965	1.23477	2.31300e-05
5.36989e+03	3.95418e-02	7.01289e-05	2.35171	3.08600	2.31300e-05
5.38993e+03	3.95517e-02	1.98853e-04	0.19878	5.99077	2.31300e-05
5.40997e+03	3.95568e-02	2.15358e-04	5.53268	0.37412	2.31300e-05
5.43000e+03	3.95644e-02	2.06324e-04	0.05379	4.59210	2.31300e-05
5.45004e+03	3.95652e-02	2.55273e-04	5.66602	3.00460	2.31300e-05
5.47008e+03	3.95657e-02	1.83470e-04	0.63243	4.81269	2.31300e-05
5.49011e+03	3.95572e-02	2.63152e-04	3.22046	4.35182	2.31300e-05
5.51015e+03	3.95773e-02	2.26297e-04	5.44977	3.30627	2.31300e-05
5.53019e+03	3.95762e-02	6.84462e-05	2.95246	6.09189	2.31300e-05
5.55022e+03	3.95719e-02	1.12900e-04	3.73633	4.68484	2.31300e-05
5.57026e+03	3.95940e-02	2.26610e-04	5.56180	1.35895	2.31300e-05
5.59030e+03	3.95802e-02	7.86067e-05	3.21965	1.35827	2.31300e-05
5.61034e+03	3.95976e-02	1.56240e-04	6.22685	1.43265	2.31300e-05
5.63037e+03	3.95919e-02	1.17161e-04	3.30456	0.34497	2.31300e-05
5.65041e+03	3.95989e-02	1.58979e-04	1.47706	3.61850	2.31300e-05
5.67045e+03	3.96088e-02	2.20841e-04	0.34118	5.40083	2.31300e-05
5.69048e+03	3.96099e-02	1.39049e-04	0.18495	5.44666	2.31300e-05
5.71052e+03	3.96144e-02	9.14232e-05	1.26465	3.48330	2.31300e-05
5.73056e+03	3.96089e-02	1.99555e-04	3.11436	0.02611	2.31300e-05
5.75059e+03	3.96269e-02	2.23036e-04	0.17742	0.61604	2.31300e-05
5.77063e+03	3.96383e-02	3.07262e-04	6.16107	4.14226	2.31300e-05
5.79067e+03	3.96388e-02	3.51170e-04	0.25938	0.02752	2.31300e-05
5.81070e+03	3.96436e-02	2.54412e-04	6.15919	2.27131	2.31300e-05
5.83074e+03	3.96417e-02	2.06726e-04	5.94852	3.70481	2.31300e-05
5.85078e+03	3.96402e-02	1.04107e-04	0.48141	3.45259	2.31300e-05
5.87081e+03	3.96458e-02	5.38870e-05	5.37259	4.78225	2.31300e-05
5.89085e+03	3.96655e-02	4.76822e-04	0.17141	3.04285	2.31300e-05
5.91089e+03	3.96591e-02	1.28065e-04	5.85413	2.38097	2.31300e-05
5.93093e+03	3.96544e-02	5.47619e-05	4.36071	2.04933	2.31300e-05
5.95096e+03	3.96750e-02	2.69692e-04	0.40261	3.60243	2.31300e-05
