# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
5.55022e+03	2.83220e-02	7.31027e-04	2.89215	0.04190	1.26440e-05
5.57026e+03	2.83247e-02	7.87266e-04	3.72773	0.29951	1.26440e-05
5.59030e+03	2.83397e-02	1.05208e-03	0.56806	2.30338	1.26440e-05
5.61034e+03	2.83368e-02	8.66297e-04	0.36243	5.33212	1.26440e-05
5.63037e+03	2.83424e-02	9.26885e-04	1.06801	5.21231	1.26440e-05
5.65041e+03	2.83337e-02	4.89115e-04	4.45622	0.11518	1.26440e-05
5.67045e+03	2.83232e-02	7.82574e-04	3.57373	3.31428	1.26440e-05
5.69048e+03	2.83320e-02	6.90585e-04	4.37289	2.60512	1.26440e-05
5.71052e+03	2.83391e-02	6.67694e-04	6.28017	4.79721	1.26440e-05
5.73056e+03	2.83450e-02	8.19402e-04	5.03766	1.65329	1.26440e-05
5.75059e+03	2.83341e-02	5.96613e-04	3.84633	2.47264	1.26440e-05
5.77063e+03	2.83445e-02	7.86626e-04	5.77966	4.23137	1.26440e-05
5.79067e+03	2.83439e-02	6.82581e-04	1.27324	3.95381	1.26440e-05
5.81070e+03	2.83438e-02	9.75564e-04	0.56809	3.91143	1.26440e-05
5.83074e+03	2.83407e-02	8.62099e-04	0.31572	1.24085	1.26440e-05
5.85078e+03	2.83360e-02	6.81775e-04	1.92789	0.76344	1.26440e-05
5.87081e+03	2.83448e-02	9.02490e-04	6.09753	1.81219	1.26440e-05
5.89085e+03	2.83368e-02	5.82859e-04	4.64547	0.03183	1.26440e-05
5.91089e+03	2.83405e-02	7.58767e-04	4.81552	0.70285	1.26440e-05
5.93093e+03	2.83466e-02	9.33911e-04	5.74926	4.74316	1.26440e-05
5.95096e+03	2.83326e-02	8.69384e-04	2.84430	4.13988	1.26440e-05
5.97100e+03	2.83387e-02	5.49858e-04	1.32302	6.26593	1.26440e-05
5.99104e+03	2.83387e-02	6.83183e-04	0.68302	5.37575	1.26440e-05
6.01107e+03	2.83459e-02	6.89803e-04	1.18552	1.15770	1.26440e-05
6.03111e+03	2.83330e-02	7.88976e-04	3.50356	5.53833	1.26440e-05
6.05115e+03	2.83482e-02	9.16643e-04	0.16741	0.88822	1.26440e-05
6.07119e+03	2.83497e-02	6.31255e-04	5.76889	3.98374	1.26440e-05
6.09122e+03	2.83409e-02	5.92633e-04	4.55407	5.50342	1.26440e-05
6.11126e+03	2.83518e-02	9.11147e-04	6.20788	1.99852	1.26440e-05
6.13129e+03	2.83557e-02	5.97568e-04	1.14565	3.08463	1.26440e-05
6.15133e+03	2.83493e-02	6.89635e-04	5.50283	5.23094	1.26440e-05
6.17137e+03	2.83365e-02	7.88009e-04	3.45613	5.35917	1.26440e-05
