# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
7.26086e-03	8.80976e-05	1.10800e-02	1.12448e-04	2.00780e-02	7.43435e-05	1.70456e-01	6.95842e-06
7.03912e-03	8.43485e-05	1.07504e-02	1.07641e-04	1.95292e-02	7.11210e-05	1.84843e-01	6.47826e-06
6.81818e-03	8.07337e-05	1.04200e-02	1.03010e-04	1.89689e-02	6.80258e-05	2.00065e-01	6.03089e-06
6.59921e-03	7.72519e-05	1.00911e-02	9.85534e-05	1.84026e-02	6.50541e-05	2.16062e-01	5.61487e-06
6.38319e-03	7.39016e-05	9.76546e-03	9.42681e-05	1.78350e-02	6.22024e-05	2.32772e-01	5.22857e-06
6.17090e-03	7.06808e-05	9.44443e-03	9.01507e-05	1.72701e-02	5.94670e-05	2.50133e-01	4.87021e-06
5.96293e-03	6.75870e-05	9.12919e-03	8.61975e-05	1.67111e-02	5.68445e-05	2.68087e-01	4.53797e-06
5.75974e-03	6.46173e-05	8.82058e-03	8.24043e-05	1.61603e-02	5.43312e-05	2.86579e-01	4.23001e-06
5.56166e-03	6.17686e-05	8.51923e-03	7.87669e-05	1.56198e-02	5.19233e-05	3.05556e-01	3.94456e-06
5.36889e-03	5.90375e-05	8.22559e-03	7.52804e-05	1.50908e-02	4.96173e-05	3.24970e-01	3.67994e-06
5.18157e-03	5.64202e-05	7.93994e-03	7.19399e-05	1.45745e-02	4.74093e-05	3.44776e-01	3.43454e-06
4.99978e-03	5.39130e-05	7.66247e-03	6.87407e-05	1.40715e-02	4.52959e-05	3.64933e-01	3.20686e-06
4.82352e-03	5.15122e-05	7.39324e-03	6.56776e-05	1.35823e-02	4.32733e-05	3.85402e-01	2.99554e-06
4.65277e-03	4.92140e-05	7.13226e-03	6.27457e-05	1.31071e-02	4.13382e-05	4.06148e-01	2.79929e-06
4.48747e-03	4.70145e-05	6.87949e-03	5.99401e-05	1.26462e-02	3.94870e-05	4.27138e-01	2.61693e-06
4.32755e-03	4.49100e-05	6.63483e-03	5.72559e-05	1.21994e-02	3.77164e-05	4.48342e-01	2.44739e-06
4.17290e-03	4.28968e-05	6.39816e-03	5.46883e-05	1.17667e-02	3.60232e-05	4.69729e-01	2.28968e-06
4.02341e-03	4.09713e-05	6.16931e-03	5.22328e-05	1.13479e-02	3.44042e-05	4.91274e-01	2.14289e-06
3.87897e-03	3.91299e-05	5.94813e-03	4.98847e-05	1.09428e-02	3.28563e-05	5.12952e-01	2.00619e-06
3.73945e-03	3.73694e-05	5.73443e-03	4.76398e-05	1.05511e-02	3.13766e-05	5.34739e-01	1.87882e-06
3.60471e-03	3.56862e-05	5.52802e-03	4.54936e-05	1.01725e-02	2.99622e-05	5.56613e-01	1.76008e-06
3.47462e-03	3.40773e-05	5.32871e-03	4.34422e-05	9.80680e-03	2.86103e-05	5.78554e-01	1.64934e-06
3.34905e-03	3.25396e-05	5.13628e-03	4.14815e-05	9.45354e-03	2.73185e-05	6.00541e-01	1.54600e-06
3.22787e-03	3.10700e-05	4.95055e-03	3.96078e-05	9.11245e-03	2.60839e-05	6.22558e-01	1.44953e-06
3.11093e-03	2.96656e-05	4.77131e-03	3.78173e-05	8.78315e-03	2.49043e-05	6.44586e-01	1.35943e-06
2.99810e-03	2.83236e-05	4.59836e-03	3.61064e-05	8.46532e-03	2.37772e-05	6.66610e-01	1.27525e-06
2.88926e-03	2.70415e-05	4.43151e-03	3.44718e-05	8.15861e-03	2.27005e-05	6.88614e-01	1.19656e-06
2.78427e-03	2.58165e-05	4.27055e-03	3.29102e-05	7.86267e-03	2.16719e-05	7.10584e-01	1.12299e-06
2.68302e-03	2.46463e-05	4.11529e-03	3.14183e-05	7.57717e-03	2.06892e-05	7.32508e-01	1.05416e-06
2.58536e-03	2.35285e-05	3.96556e-03	2.99932e-05	7.30177e-03	1.97506e-05	7.54371e-01	9.89762e-07
2.49119e-03	2.24607e-05	3.82116e-03	2.86320e-05	7.03614e-03	1.88540e-05	7.76163e-01	9.29480e-07
2.40039e-03	2.14409e-05	3.68192e-03	2.73318e-05	6.77996e-03	1.79977e-05	7.97872e-01	8.73036e-07
2.31284e-03	2.04668e-05	3.54766e-03	2.60901e-05	6.53292e-03	1.71799e-05	8.19487e-01	8.20169e-07
2.22843e-03	1.95365e-05	3.41821e-03	2.49042e-05	6.29471e-03	1.63990e-05	8.41000e-01	7.70639e-07
2.14706e-03	1.86481e-05	3.29342e-03	2.37716e-05	6.06503e-03	1.56531e-05	8.62401e-01	7.24221e-07
2.06861e-03	1.77998e-05	3.17311e-03	2.26901e-05	5.84360e-03	1.49408e-05	8.83681e-01	6.80710e-07
1.99300e-03	1.69896e-05	3.05714e-03	2.16573e-05	5.63013e-03	1.42608e-05	9.04831e-01	6.39912e-07
1.92011e-03	1.62160e-05	2.94534e-03	2.06712e-05	5.42434e-03	1.36113e-05	9.25846e-01	6.01648e-07
1.84985e-03	1.54774e-05	2.83759e-03	1.97296e-05	5.22598e-03	1.29912e-05	9.46718e-01	5.65754e-07
1.78214e-03	1.47721e-05	2.73373e-03	1.88305e-05	5.03477e-03	1.23992e-05	9.67440e-01	5.32074e-07
1.71687e-03	1.40987e-05	2.63363e-03	1.79720e-05	4.85047e-03	1.18339e-05	9.88006e-01	5.00466e-07
1.65398e-03	1.34557e-05	2.53716e-03	1.71525e-05	4.67285e-03	1.12943e-05	1.00841e+00	4.70796e-07
1.59335e-03	1.28419e-05	2.44417e-03	1.63700e-05	4.50164e-03	1.07789e-05	1.02865e+00	4.42937e-07
1.53494e-03	1.22558e-05	2.35457e-03	1.56230e-05	4.33665e-03	1.02870e-05	1.04872e+00	4.16779e-07
1.47864e-03	1.16964e-05	2.26822e-03	1.49098e-05	4.17765e-03	9.81736e-06	1.06861e+00	3.92208e-07
1.42440e-03	1.11623e-05	2.18501e-03	1.42291e-05	4.02442e-03	9.36917e-06	1.08832e+00	3.69128e-07
1.37212e-03	1.06525e-05	2.10483e-03	1.35791e-05	3.87677e-03	8.94120e-06	1.10785e+00	3.47443e-07
1.32175e-03	1.01659e-05	2.02757e-03	1.29587e-05	3.73449e-03	8.53269e-06	1.12719e+00	3.27067e-07
1.27322e-03	9.70133e-06	1.95312e-03	1.23666e-05	3.59739e-03	8.14265e-06	1.14634e+00	3.07916e-07
1.22645e-03	9.25779e-06	1.88137e-03	1.18013e-05	3.46526e-03	7.77052e-06	1.16530e+00	2.89911e-07
1.18139e-03	8.83467e-06	1.81226e-03	1.12616e-05	3.33797e-03	7.41520e-06	1.18407e+00	2.72987e-07
